<ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, 10, 10, 10, <ImageData 5x5>, <ImageData 5x5>
<ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, 10, 10, 10, 10, <ImageData 5x5>, <ImageData 5x5>
<ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>
10, 10, 10, 10, 10, 10, 10, 10, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>
10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10
10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10
<ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10
<ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10
10, 10, 10, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 0, 0, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>
10, 10, 10, 10, 10, 10, <ImageData 5x5>, 0, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10
10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 0, 0, 10, 10, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>
10, 10, 10, 10, 10, 10, <ImageData 5x5>, 0, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10
10, <ImageData 5x5>, <ImageData 5x5>, 10, <ImageData 5x5>, <ImageData 5x5>, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10
10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, 10, <ImageData 5x5>, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, 10, 10, 10, 10, 10, 10
10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>
10, 10, <ImageData 5x5>, 10, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10
10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, 10, 10, 10, <ImageData 5x5>, 10, 10, 10, 10, 10, 10, 10, 10, 10
10, 10, 10, 10, 10, 10, 10, 10, 10, 10, <ImageData 5x5>, 10, 10, 10, 10, 10, 10, 10, 10, 10
<ImageData 5x5>, 10, 10, <ImageData 5x5>, 10, 10, 10, 10, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10
<ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, 10, 10, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>, <ImageData 5x5>
